,pono,gitemno,proccode,procseq,comb_classification,duedate,fabric_width,original_production_length,chemical_list,product_ID,process_ID,procgbn,gitemname,procname,production_length
59,SW1250904705,32267,20906,4,4,2025-11-03,1300,0,None,32267_1300_4_M11,32267_1300_4_M11_20906_None,인쇄,RAINBOW(KOR)-ND-IS200 3390,인쇄,0
60,SW1250904707,32363,20902,1,4,2025-11-03,1300,1767,T02619|T02326,32363_1300_4_M11,32363_1300_4_M11_20902_T02619|T02326,안료,RAINBOW(KOR)-DM-VS100 30(RHN40%),안료접착,1940
61,SW1250904707,32363,20706,2,4,2025-11-03,1300,1767,W1817,32363_1300_4_M11,32363_1300_4_M11_20706_W1817,SR,RAINBOW(KOR)-DM-VS100 30(RHN40%),MIBK SR,1900
62,SW1250904707,32363,20500,3,4,2025-11-03,1300,1767,WRF065,32363_1300_4_M11,32363_1300_4_M11_20500_WRF065,투명,RAINBOW(KOR)-DM-VS100 30(RHN40%),투명점착,1850
63,SW1250904707,32363,20906,4,4,2025-11-03,1300,1767,None,32363_1300_4_M11,32363_1300_4_M11_20906_None,인쇄,RAINBOW(KOR)-DM-VS100 30(RHN40%),인쇄,1810
64,SW1251002001,32413,23311,1,4,2025-10-31,1300,0,T0915,32413_1300_4_M10,32413_1300_4_M10_23311_T0915,투명,PPF-NS-TGA N (OP개선),PPF점착,0
65,SW1251002001,32413,12400,2,4,2025-10-31,1300,0,T01288|T01715,32413_1300_4_M10,32413_1300_4_M10_12400_T01288|T01715,SR,PPF-NS-TGA N (OP개선),TOP COATING,0
66,"SW1251002401, SW1250911402",32453,23311,1,4,2025-10-17,1300,300,T0915|T02098,32453_1300_4_M10,32453_1300_4_M10_23311_T0915|T02098,투명,PPF-NS-Onyxhield EXa MATT,PPF점착,300
67,"SW1251002401, SW1250911402",32453,12400,2,4,2025-10-17,1300,300,T02244,32453_1300_4_M10,32453_1300_4_M10_12400_T02244,SR,PPF-NS-Onyxhield EXa MATT,TOP COATING,300
68,SW1251003601,32470,23311,1,4,2025-11-04,1300,225,T0915,32470_1300_4_M11,32470_1300_4_M11_23311_T0915,투명,PPF-NS-ULTRAFIT XP SUPREME TOP(PX93-15),PPF점착,230
69,SW1251003601,32470,12400,2,4,2025-11-04,1300,225,T01521,32470_1300_4_M11,32470_1300_4_M11_12400_T01521,SR,PPF-NS-ULTRAFIT XP SUPREME TOP(PX93-15),TOP COATING,230
70,"SW1250908901, SW1251001801",32556,20710,1,4,2025-10-27,1300,360,T01020,32556_1300_4_M10,32556_1300_4_M10_20710_T01020,SR,WP-NS-IVIOS Axion,ESR,370
71,"SW1250908901, SW1251001801",32556,23100,2,4,2025-10-27,1300,360,T01226,32556_1300_4_M10,32556_1300_4_M10_23100_T01226,투명,WP-NS-IVIOS Axion,비산점착,360
72,SW1250212001,32571,23312,1,4,2025-03-24,1300,144,T01639,32571_1300_4_M3,32571_1300_4_M3_23312_T01639,EPU,PPF-NS-ULTRAFIT XP Metallic Silver Satin(PEARL),EPU코팅,180
73,SW1250212001,32571,23316,2,4,2025-03-24,1300,144,T01640,32571_1300_4_M3,32571_1300_4_M3_23316_T01640,EPU,PPF-NS-ULTRAFIT XP Metallic Silver Satin(PEARL),WHITE EPU코팅,170
74,SW1250212001,32571,20500,3,4,2025-03-24,1300,144,T01514,32571_1300_4_M3,32571_1300_4_M3_20500_T01514,투명,PPF-NS-ULTRAFIT XP Metallic Silver Satin(PEARL),투명점착,160
75,SW1250212001,32571,12400,4,4,2025-03-24,1300,144,T01713,32571_1300_4_M3,32571_1300_4_M3_12400_T01713,SR,PPF-NS-ULTRAFIT XP Metallic Silver Satin(PEARL),TOP COATING,150
